アカウント,作成日,ツイート,良いね数,リツイート数,言語,場所,アカウントの説明,フォロワー数,認証の有無,フォローしている数,ツイート数,アカウント作成日
tkgw2019,2020-06-04 19:10:59,'WINTICKET(ウィンチケット)へPayPayチャージで100%、1000%当選者の方いたら教えて欲しいです🙏  確実ではないですがもしかすると...というデータあります。  共有しましょう🧑🏿‍💻  #PayPayジャンボ https://t.co/bFcFlEZGQe,8,0,ja,ヨシムネのキーンしても委員会,"'お金,乞食,マイル,ポイントサイト,転売,せどり,MNP,競馬,株,為替,仮想通貨など。4号機(パチスロ)で開業資金を貯めて18歳から経営者。#ポイ活 #転売 #キャッシュレス #新宿租界 有料サロン #ヨシムネのキーンしても委員会 始めました",5218,False,665,5596,2019-01-25 03:27:21
sntk_mp,2020-06-04 19:10:59,'@paypay__b ちょうど強化パケきましたよお兄さん🥺,0,0,ja,,'メイプルMにおる,201,False,201,1437,2019-08-16 01:43:22
hitagia,2020-06-04 19:10:40,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/ZW1spSgq7H,0,0,ja,,',76,False,761,8258,2010-12-22 15:55:25
arikapopy,2020-06-04 19:10:26,'キャンプ場でPayPayセルフレジか、、、,0,0,ja,日本,'主に自炊料理、運動、ダイエット、キャンプとかを呟いてます,38,False,96,1261,2011-06-25 05:24:53
yuknsat,2020-06-04 19:10:11,'ハンバーガー屋さんごっこでPayPay使われるならいずれAmazon Goごっこもできんだな  無人コンビニの管理を子どもと学童の保母さんでするというごっこあそび,0,0,ja,,'テクノポップでダンサブルでジャズィーでファンキーでエレクトリックでノスタルジックでネオロマンティックでセンチメンタルなロックを歌うアイドルがすきです。,424,False,999,32486,2016-02-28 07:17:41
rio032011040614,2020-06-04 19:09:47,'最近クレカとPayPayしか使ってないから財布いらない気がしてきた🙄 2つ折り財布にしたけど3つ折りでもいいな🤔 なんならカード入れに少し現金を入れるスペースがあればいいか🤔,0,0,ja,日本 東京,'マタ垢☻予定日2019年9月30日 ☞ 出産日2019年10月9日 ⁑ 初マタ ⁑ 潰瘍性大腸炎妊婦 ⁑ 福岡 → 東京 ⁑ 激しい音楽大好き🤘🏻 ⁑ 教育資金等お金の勉強中 ⁑ FP2級 ⁑ つぐme 伯爵5 ⁑ フォローお気軽に❁無言フォロー・呼びタメ大歓迎❁インスタにもマタ垢あります❁よろしくお願いします☻,224,False,325,9036,2017-07-13 01:39:28
1229SH327,2020-06-04 19:09:20,'#いまそら  ｵﾂｶﾚｻﾏﾃﾞｽ✨  PayPayって期限があるのね…⤵️0円🥺  でも明日は😎📻💙🐉📱楽しみがいっぱいなので、、  明日🌃楽しみにしよう〜😅 💧 https://t.co/0XGD6FqBx8,51,0,ja,,'昭和レトロ 、70s、80sカルチャー、いい音楽♪♪♪♪♪浜田省吾さん💙角松敏生さん💙ハードオフEP収集♪♪レコード♪空、星、雲を見ることが好き☆FF関係なく(^^)仲良くしてくださいm(_ _)m,575,False,558,4173,2019-05-15 01:06:35
o_k_o_n_YH,2020-06-04 19:09:15,'PayPayで支払う寸前に電話かかってくるの、やめてーww,0,0,ja,彩の国🦏🎲,'ポルノグラフィティ•TEAM NACS•King Gnu👑🐃•旅•保護犬猫•美味しいもの•藩士👹 ポルノ初LIVE➡️’98.11月高田馬場AREA ⠀ NACS初観劇➡️HONOR銀河劇場⠀⠀ ⠀ ⠀ ⠀ポルノで全国制覇、あと4県🙌,179,False,162,6965,2013-05-03 04:31:22
mimi08344836,2020-06-04 19:09:09,'@ria08101 paypayもLINE Payも、コンビニで使えるよ(*´ー｀*)  他にもpayはいっぱいあるけど、他は付いて行けてない(∋_∈),0,0,ja,,'懸賞応募が日々の楽しみです☺お菓子作りやパン作りも好きです🍰懸賞好きの方と仲良くなりたいです💕,536,False,3785,25390,2017-01-17 11:44:21
EGucye,2020-06-04 19:08:37,'6月いっぱいは6時よりオープンとさせて頂きます。  お店にご来店の際は消毒をお願いしていますのでどうぞご協力を！  後‼️PayPayを入れました。 https://t.co/7VbUYRIGJE,3,0,ja,,'袖触れ合うも多少のEn!!,10,False,8,30,2020-05-04 02:15:28
Piyomaruuu777,2020-06-04 19:08:23,'くうさん（@Kuujj0611 )の からあげクン何味を食べたでしょう？クイズに参加して参加賞のPayPayをいただきました(*^_^*)💕  クイズは不正解でしたが 参加賞ありがとうございました☺️🌸  炙りバーベキュー味 今度私も食べてみたいです🐓♡  #くうの贈り物 #ピヨ丸の当選報告 https://t.co/HMchxi0Jfk,4,1,ja,登録系・副業勧誘🆖🙅‍♀️,'0才と2才の子育て中👶👧❤️シンママ予備軍🌸🌸20代👩🏻‍🦰スヌーピー好き（・¨●）♡懸賞&日常垢✨当選報告は心を込めてさせていただきます♡♡♡♡🍀🎈🍭🐻 #ピヨ丸の当選報告,875,False,1618,5589,2020-04-24 14:44:23
128s211,2020-06-04 19:08:10,'PayPayいれてないんよねー最近はモバイルSuicaに統一してる https://t.co/mfwVOHuAqs,0,0,ja,,'神谷浩史＊入野自由＊DGS 仮面ライダーかじりかけ,448,False,320,37905,2015-01-08 07:15:07
uepon09,2020-06-04 19:07:16,'今日、お昼ごはん食べるところを探していたところ「お支払いはPayPayのみ。衛生上現金はとりあつかいません」と貼り紙のお店が現れたことをご報告いたします,4,0,ja,@君が手を伸ばす先に,"'#藤田麻衣子 さんに恋煩い中☆／#タイナカ彩智 さん ♪絶賛推奨／なすとら／LIVEは一期一会。声に魅力のある人が好き／南壽あさ子さん,古賀小由実さん,鈴木祥子さん,岡村孝子さん,大貫妙子さん,池田綾子さん,諫山実生さん,松本佳奈さん,半崎美子さん,etc.／鉄分多め／独り言多め、絡み少なめ／難聴",274,False,477,11654,2013-05-26 09:19:39
tk_tkes2,2020-06-04 19:07:12,'@eshuteshandeshu paypayわーいヾ(＠⌒ー⌒＠)ノ,0,0,ja,,'とくとく🐐(@tk_tkes)が凍結したため、こちらの垢で活動中,169,False,866,10192,2020-01-06 09:02:21
okiTwinkleHeart,2020-06-04 19:06:57,'今日6月4日(木) ✨Twinkle💖Heart💫  お店に例のマスクが届いてたので飾りまーす🤣 今日もいい天気で暑かったので店内冷やして待ってます  今夜はまなぶ1人ぼっち営業で22時オープンです。 皆様のお越しを楽しみにしてます！  電子ポイントカードとカード決済やEdyや楽天PayやIDやPayPayでの支払い可能 https://t.co/3B3BjNMDuG,11,23,ja,沖縄 沖縄市諸見里1-3-18 2F,'#沖縄市 #GAYBAR 名前の由来は星の輝きのような心をっと言う意味でつけた。そんな輝く心を持ちたい。soft drink ¥600〜 cocktail ¥900〜 泡盛、焼酎などボトルやワンドリンク対応。J-POP K-POP 洋楽が店内で流れてます。20代から50代ぐらいまでの客層が集まります。,452,False,403,48567,2017-02-27 17:48:45
It1m2uW9kIHRmmo,2020-06-04 19:06:50,'PayPayが月5万までしかチャージできないから固定資産税分割で払うしかない、、チッ,0,0,ja,,'このコロナ禍で生き方について考え直し始めているフルタイムワーママです。保育園児2人。いまはひきこもり。,45,False,251,2005,2019-02-11 00:02:27
Pechio_peanuts,2020-06-04 19:06:10,'ちょうどいいデザイン値段スペックのがあったからポチった。PayPayモール安いわ25%はでかい,0,0,ja,ミルフィーユな山奥,'食事に合わせた酒を飲んで通ぶります。ラーメンをよく食べます。ラーメン以外はとりあえず作ります。動画のいいねはしおり代わりで後で閲覧用です。サウナと温泉と外気浴が好きです。ANNは週5本聴いてます。アイドルオタクですが、推しメンはお察しください(^･ｪ･^)😭,217,False,372,41947,2010-05-12 11:02:45
tokkashop,2020-06-04 19:05:54,'PayPay、「がんばれ浜松！」30％還元キャンペーン - ケータイ Watch https://t.co/nMEryeHlOn @ktai_watchより  静岡県浜松市内のPayPay加盟店・上限は1000円分/回、合計5000円分/月だって！行ける人はオトク( ´艸｀)！,3,3,ja,特価のある所,'特価品やセール情報を集めて紹介しますよ。スパムやデマアカウントじゃないよ！過去の商品はなくなってたり値上げしてたりするから注意してね！店長とかてんちょーとよんでくださーい(∩´∀｀)∩  鍵かけてるときはフォロワーさん先行で特価品を紹介しているのでヨロシクゥ！,10296,False,5389,34612,2017-02-08 16:53:26
daminnkotowari,2020-06-04 19:05:45,'あ〜俺も江戸時代の支払いで「PayPayで(イケボ)」って言ってみてぇ,2,0,ja,スノウさんの近くにいたい,'私の人生の推しは『スノウ・ウォーカー』  ｢異世界迷宮の最深部を目指そう(いぶそう)｣という沼にハマった限界オタク いぶそうが店舗になくてお困りの時は #異世界迷宮の最深部を目指そう店頭在庫調査 ヘッダーはれぐるすさん＆さこつさん＆不憫さんに許可を貰いました,339,False,602,32986,2014-10-19 14:17:22
uruuru0418,2020-06-04 19:05:17,'ごん汰さん(@raiaaaan_)の 企画に当選して PayPay63円いただきました🎉  大切に使わせていただきます🙏 ありがとうございました💕  #来愛プレゼント企画 #たいちゃんやまちょん当選報告 https://t.co/562ianIKqn,2,2,ja,,'4歳双子ママ / グルメ🍖 🍣お酒🍻 SweetS🍰🧁 / 旅行🚝👜🍱 / カラオケ🎤😃🎶 / メイク💄💋✨ / ファッション👠👚/ 性格 : 好奇心旺盛😍💕  🌸🌸 当選報告はこちら : #たいちゃんやまちょん当選報告 つぶやきはこちら : #たいやまのつぶやき,878,False,2430,11174,2013-05-28 03:05:03
z_110109,2020-06-04 19:05:03,'【 @raiaaaan_ 】様の先着paypay3円分を頂きました😢🙏🏻✨ ほんとにありがとうございます🙇🏻‍♀️💧 https://t.co/JJgNN1UTfl,1,1,ja,大阪,'鬼滅 ヒロアカ取引垢 📮 (16↑18↓)当方 最推し様【緑谷 我妻 麗日 】推し様【甘露寺 爆豪 轟】よりの箱推し 身内分集める場合あります(* . .)) 初回のお取引の方はツイフィ必読 (固ツイも読んでいただけると幸いです),148,False,230,1876,2019-05-08 09:37:03
eshuteshandeshu,2020-06-04 19:05:01,'@3100307kh PayPay開いて  S♡ ブラックサンダー  私,0,0,ja,,'エステティシャンのエステさんです🥺サロン開業の為に日々奮闘中。💆‍♀️#エステさんの自宅でエステ気分 🎁#エステさんのプチプレゼント企画 ⸜❤︎⸝‍ #エステさんの頂き物 ←当選報告はこれです🥺ありがとう💗🚰♥️👱🏼‍♀️💄🧖‍♀️#エステさんとみんなの美容口コミ,5478,False,1025,36108,2017-02-25 08:56:32
paypay__b,2020-06-04 19:04:57,'@Kyo_c4 なんも悪口じゃないよ！！笑,0,0,ja,,'メイプルm もみじ FW,183,False,184,686,2019-09-04 09:21:14
KEN00048,2020-06-04 19:04:36,'『ソニー銀行 登録口座からPayPay残高チャージへ対応開始！』KEN｜https://t.co/NYyPYpihPL #ソニー銀行 #ネット銀行 #PayPay,1,2,ja,日本,'ブログ派です。,14,False,15,455,2017-04-09 07:20:16
oyabunbun,2020-06-04 19:04:25,'PayPayで固定資産税/都市計画税の支払いをしたらワンコインランチ代くらい付与された。しかも金額が大きかったためPayPayの割引率も＋0.5%になりましたわ～。,0,0,ja,"Tokyo, Japan",'英語力がさほどないのに外資系会社を転々と。 山歩き、ペット栄養管理士、愛玩動物飼養管理士1級、産業カウンセラー、他。,334,False,741,10114,2009-07-21 11:25:29
sugaprfm,2020-06-04 19:04:24,'@sho_boiz なるほど。それは大変面白い考察ですね。paypayとpaipai、確かに似ていると思います。これは、是非とも思春期の中学生にも広めていきたい文化だとも感じました。 早速、河川敷に行き声出し練習から始めたいと思います。,0,0,ja,,'勝手に気まずくなって勝手に人と距離を置いてしまう癖があります。 Perfume / 日プ / SEVENTEEN / K-POP / ハロプロ / ギャル / ときどき電車と一人旅,394,False,474,58894,2010-02-04 04:33:09
cleeeeen24,2020-06-04 19:04:17,'@rorschachers999 めちゃ不便になってるじゃないですか笑笑　paypayとかLINEpayならクリオネでも使えるのでは…？？,0,0,ja,元えでは,'ﾝｰﾘｸ,40,False,239,645,2019-03-25 22:25:09
kazutan016,2020-06-04 19:03:57,'昨日の社長(@bacara_brave9_0 )とデンさん(@DEN__Ryu__NED )のミラティブ配信のルーレット企画当選させて頂き、無事1000円分のPayPay初チャージ出来ました！ ありがとうございました(；A；)♥♥！！ これからもついて行きます🤢💓！！笑 #バカラ社長企画  #ミラティブルーレット  #でんの実績 https://t.co/sClXA6Zo1f,1,0,ja,埼玉  深谷,'#ポケモン盾 #あつ森 欲しいものリストhttps://t.co/olRabEzJVA,126,False,334,31821,2012-09-04 03:39:13
carrot_carrot,2020-06-04 19:03:43,'「PayPay」、ソニー銀行の口座登録が可能に - PayPay株式会社 https://t.co/240bPVxdaE  なんですと！,0,0,ja,"Kyoto city,JPN",'ゆるゆると再開。RT含め気の向くまま幅広くツイート。最近はニュース系のツイートが多め。関心事は多岐にわたるけど一般的な会社員。,145,False,113,46760,2010-03-18 10:01:11
yanamsmr,2020-06-04 19:03:37,'PayPayあって良かったまじで,1,0,ja,,'成人済｜今日も推しはびっくりする程可愛い,93,False,226,11939,2015-03-16 13:10:10
miki08050120,2020-06-04 19:02:47,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/8pCxN3nYR4,0,0,ja,,'防弾少年団のジンさん大好き😍/瀬戸大也選手を応援しています✨ 懸賞大好き/韓国ドラマ大好き😆💕,223,False,2439,26526,2014-08-09 02:18:03
yuip0721,2020-06-04 19:02:29,'明日は急遽、休みになったから夕方までなら #通話調教 #ビデオ通話 するよ♥  いつもの通り、PayPayで15分3000円ね♥ 恥ずかしいシコシコ見せてごらん♥  #貢ぎ奴隷 #貢ぎマゾ,5,1,ja,九州北部,'30代人妻♥リアル、未成年❌ DM、カカオにて調教。  通話はゲリラ的に開催⚠️  お貢ぎはアマギフかPayPay。 ご挨拶はgiftee（https://t.co/ybEGQ3DrLa ）  リアルSM経験歴10年👠,284,False,29,1595,2019-12-22 08:01:27
201612,2020-06-04 19:02:01,'@DM_a_bot PayPayつかってる？,0,0,ja,,'フォロバ100。相互フォロー！,195,False,408,70342,2018-05-25 16:40:37
201612,2020-06-04 19:02:00,'@apple_chan_bot PayPayつかってる？,1,0,ja,,'フォロバ100。相互フォロー！,195,False,408,70342,2018-05-25 16:40:37
eoTzNuyARXd8Uq9,2020-06-04 19:01:34,'iTunes Amazonギフト Google play 販売、クレジットカード 、携帯決済の現金化しています。 例 1500円→2100円 3000円→4200円 5000円→6500円 10000円→13000円 Amazonギフト　　 iTunesカード GooglePlayカード paypay残高 LINEpay残高 裏バイト 闇バイト クレカ現金化 金策　 売上金 現金化14,0,0,ja,,'できないこと以外に何でもやります。 又クレジットカード、フリマサイト、携帯決済、PayPayなど各Payの現金化承ります。 その他お金を手に出来る方法もアドバイス出来ます。 フォロー後にDMお願い致します。   　　　　　 　　　　下記フォームからでも申し込み可能です。,124,False,34,4969,2020-01-12 00:05:15
go_jerrodmustaf,2020-06-04 19:01:22,'来季新潟方面の仕事増えそうだからPayPay遠征は捗りそうなのだよ！！,56,0,ja,,',16563,False,16431,171446,2012-03-22 13:24:50
ria08101,2020-06-04 19:01:20,'paypayもApple Payも訳わからない… 機種変更時に店員のお姉さんがいろいろ説明してくれたんだけど…現金派だったから今まで使ったことなくてちんぷんかんぷん… paypayはコンビニで商品が買える？の？😢,5,0,ja,,'結婚３年目の食いしん坊ナース💉❤️日本全国を庭だと思ってるフッ軽女子🌸おいしい物のためならどこへでも😍ディズニーや美容も大好き🍀副業や登録系は🆖＊当選した場合は感謝の気持ちを込めて紹介させていただきます😆❤️#りあちゃんまんの当選報告 ＊懸賞垢さん無言フォロー🆗敬語ポイで気軽に話しかけてね🐣❤️,2494,False,2678,6969,2020-03-18 08:45:25
yory0720,2020-06-04 19:01:12,'#よりーの当選報告  くうさん ( @Kuujj0611 )の企画で、参加賞当選し、paypay101円をいただきました😍💓  とってもありがたいです❤️ また企画参加させてください😊💓  #くうの贈り物 https://t.co/CSIOtj17bG,6,2,ja,👇yoryの欲しい物リスト👇,'わんぱく坊主2人(5歳・3歳)を育てる30代ママです🌟13歳歳上の夫と結婚🎊 LOVE...スイーツ/旅行/カフェ/お肉/コスメ/美容/高橋一生/ディズニー/ファッション/ホワイトチョコ/料理/インテリア/毎日筋トレ #よりーの当選報告 #よりーの晩ごはん,1829,False,3960,15948,2020-01-27 02:02:49
h1mawar1p0n,2020-06-04 19:01:09,'かなーり久々にPayPay支払い(しかキャッシュレスには対応しないお店なので仕方なく💦)しようとしたらクレカ紐付け支払い額の上限が25万円まで拡大されてる⁉️(カードの与信残高はそのときに応じて人それぞれなので、常にこの額が使える訳ではないはずよ⚠️) まあ、還元額的旨みのない今となっては飾り😅 https://t.co/0VBruIHvpD,0,0,ja,✈️🚅🚌6/28名7/12松江19札11/5名阪 他,'ホール音響厨🎻主要鑑賞歴2/29最新 川井郁子*村上ゆき服部百音桑原あい平原綾香細川千尋-classic-Perfume*-Jazz-大原櫻子*&Ayasa古澤巌waka倉木麻衣上原ひろみ*宮本笑里MayJ.奥華子葉加瀬太郎中島みゆき*DavidFoster*TaylorSwift*/壇蜜/未対面=*,37,False,138,22365,2015-09-21 22:12:31
Uv___oU,2020-06-04 19:01:06,'@Xiao__mu PayPayにチャージしちゃったのでw,1,0,ja,静岡→埼玉,'遊戯王と音ゲー,4735,False,4659,55957,2018-05-22 02:06:10
kareee____,2020-06-04 19:01:03,'paypay賞金でもあり、、？！🤨,8,0,ja,【 dizaster 】MG 🌷,'💍 | @riosukekun 👯 | @4173__ 💍 | @AYTS_sama1 | 🐰 | @27__mep |🦖 | @FukutuD | 👦🏻 |@Rex4y_715 | 🌼| @_Ne4e_ |🥀 | @i_zuox |🥂 | @_yu_yu_9_,3680,False,567,18802,2016-12-06 13:41:00
paypay_v,2020-06-04 19:01:00,'@yu_yukatan 同じ😁🍄,0,0,ja,,',303,False,437,23039,2014-10-15 12:27:06
doryaseria,2020-06-04 19:00:47,'#荒野行動アカウント買取   ✅#金枠多数 や #豪華限定版 など高価買取!!   ✅総実績700以上なので安心  ✅実績確認【https://t.co/Nx5b8A0IsN】  買取額お渡し方法 【各種プリカ/銀行振り込み/Linepay/PayPay】  #荒野行動 #荒野行動垢買取 #荒野行動買取  #荒野行動ゲリラ https://t.co/DUzAieHqmO,0,0,ja,サブ垢 @S4R1A,'業者歴2年以上🛡️総実績700↑📁 ⠀ ⠀ ⠀⠀ ⠀⠀実績確認 #せりあ実績 ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀ ⠀⠀在庫確認 #せりあ荒野在庫⠀ ⠀ ⠀ ⠀⠀ ⠀ ⠀⠀ ⠀⠀⠀取り扱いアカウント全てJP垢、非共有です,4208,False,4956,1960,2014-12-05 02:57:12
trhk115_,2020-06-04 19:00:42,'最新🔆ピンバッジ ピンバッチ 買取 交換 日ハム 日本ハム ファイターズ   譲▷4.10.20(4).28.29.31.39.42.46.49.55(2).59.144.75.SP15(2)  求▷郡拓也 60 、200円+送料  ＊郵送取引 ＊交換優先 ＊北洋銀行、PayPay対応  60は買取もするのでお声掛け下さい☺︎ https://t.co/GOREWI8yMj,0,12,ja,郡拓也選手のグッズ無限回収◎,'60のボンフィン探してます(TT),71,False,71,325,2020-04-17 09:49:31
LANTANA_KEITA_,2020-06-04 19:00:30,'PayPay払いでサウンドハウスで何か買うと１０%戻ってくるってよ！！！ 6月３０日まで！！  #PayPay #サウンドハウス https://t.co/9jftUmNuG2,6,1,ja,日本,'ドラム叩けます。ギターベースは弾けません。東北出身東京住み。ポケモンとコードギアスは永遠に好き。LANTANA MV SPOT https://t.co/UTnA4pV718 インスタhttps://t.co/IoKVp4GzYE,1064,False,230,4914,2013-06-02 03:40:52
deadening_shop,2020-06-04 19:00:22,'デッドニング・防音工房ヤフーショッピング支店  ワイ！ワイ！SALE開催！  当店全品！倍！倍！ストア 誰でもPayPay+5%還元！ 対象です！  6/08 01:59迄開催！  https://t.co/toR2HicFTK  #ヤフーショッピング #クーポン #セール #特価 #割引 #デッドニング #還元 #SALE #防音 #PayPay #SALE https://t.co/AGFfndhZd8,0,0,ja,大阪 大阪市 中央区,'車のデッドニング・防音おたくの店長が、実際に効果が高かった素材のみを厳選して販売しております。 ヤフーショッピング支店https://t.co/SrVrm5KgFP Amazon支店https://t.co/2cMfBrwJfa TOPバナーは@akasio_kani作,651,False,816,78806,2011-02-01 06:32:46
LbFup,2020-06-04 19:00:20,'#PayPayボーナス が簡単にGETできる #QuickPoint ご好評につき『PayPayボーナス1万円相当がアタル！』キャンペーン第2弾開催🤩 応募期間は5/21～6/10、毎週応募で最大当選確率『3倍』に✨今すぐ応募しよう！💨  https://t.co/TJcGGN93z0,0,0,ja,Have a good cashless.@沖縄,"'【10月までクレカ喪中】キャッシュレス,銀行,決済,フィンテック,株式,政治,経済.【SMBC,SMTB,SMBCTB,楽天,住信SBIJAL,ｽﾙｶﾞANA,ゆうちょ,ｲｵﾝ,中銀】【4日: ｾｿﾞﾝ金雨,10日:SFC,JGC,JCB一般,蜜V,蜜銀,雨緑,26日:LINE,27日:楽天P,JQｴﾎﾟｽ金,YJ】",264,False,1159,116,2018-06-15 05:15:20
otokurashi_i2i,2020-06-04 19:00:04,'【1等最大1000%戻ってくる！】  「#セブンイレブン で当たる！ペイペイジャンボ」キャンペーンが7月に開催！  抽選で #PayPay 決済金額の1000％が戻ってくるキャンペーンで、 上限は最大10万円！！  7/1(水)～7/31(金)まで！ https://t.co/2piaAVM1T8,0,0,ja,東京都 渋谷区,'お得な暮らしを応援する情報サイト【おトクらし】の更新情報や、気になるお得なキャンペーンやお役立ち情報、節約情報などを日々更新中。フォローすれば世の中のお得情報まるわかり！,155,False,12,431,2019-09-17 05:54:14
sbhawks_goods,2020-06-04 19:00:00,'おうちでもPayPayドームの雰囲気を味わえるグッズが登場🙌 第一弾として、ドーム内の飲食店にて取扱しているスーベニアカップの販売を開始いたします✨ おうちでもドームでの観戦気分を味わおう♪ https://t.co/akvUhzgTKy  ※こちらはホークス公式オンラインストア限定の商品となります。 #sbhawks https://t.co/VN7BfMNluG,380,81,ja,福岡PayPayドーム,'福岡ソフトバンクホークスグッズチームによるTwitterアカウント。 キャンペーン情報や新商品情報など盛りだくさん♪ ホークスグッズを身につけて、ホークスを熱く応援しよう！ ＊全てのコメントに返信できない可能性もございます。ご了承くださいませ。,7390,False,62,736,2019-07-09 11:41:38
memory_o_f_snow,2020-06-04 18:59:45,'Paypayは来月から手数料取るらしいけど、これでPaypay離れが起きるかねえ？,0,0,ja,In The Future -Side02-,'I'm asking 4 ur luv 2 everlasting.This is a dream that we'll be.I'm getting peace of mind close 2 ur smile.With all these tenderness u give I just can pray.(意訳),223,False,259,68978,2009-05-03 06:00:13
SIKUROHEXA666,2020-06-04 18:59:37,'@Butyric_Yummy そのあたりなもんですかね…(少し用意するのに時間がかかりそう)自分はpaypayとかアマギフを頻用してますが……(指定があれば),1,0,ja,,'ツイートと音楽系の映像とかとかを作ります。(Ae/Ps/Ai/AviUtl) works&依頼について:https://t.co/Rv4rmXopEH 映像制作の依頼はDMで受け付けています Discord:しくろ#8638、N5,1275,False,2641,49346,2019-06-18 18:55:21
arigatou0715,2020-06-04 18:59:18,'@pika_akanen PayPay最高*\(^o^)/*  あかねちゃん最高*\(^o^)/*,1,0,ja,本現場が一番いい,'シュ!!からのムギュ!?からのクルックルッ♪からの Yes!からのヒラリ＊からのハッピー★からのピカッ☆からの～,466,False,382,232157,2013-08-26 14:34:56
marurungogo,2020-06-04 18:57:47,'実は我が家にはPayPayの全額タダになるいつぞやのキャンペーンで戻ってきたお金で買ったNintendo Switchがあるのですが、ハグっとプリキュアの謎ゲームで娘が遊んだだけで放置されたまま。ゲームはツインビー、魔界村、高橋名人の冒険島、スーマリ時代に卒業しました。,3,0,ja,日本,'IPAと海外ドラマ、映画が好きな保育園児の母。,99,False,95,5300,2017-09-21 10:25:22
lolnohito,2020-06-04 18:57:33,'PayPayで香典送金,1,0,ja,,'LOLのフレンド募集してまつ✋(・＿・) ラヴィリアといいます。 たぶんTopメイン 仲良くなりたいので絡みにいきます いいねは既読です アルコール濃い目,481,False,430,24304,2018-06-01 03:03:16
mi__maru12,2020-06-04 18:57:32,'@rad11moshimo paypay使い方全くわからんし全然気にしなくていいよ！貰ってもらうだけで嬉しいから！👍🏻 全然いいよ〜!!( ∩¨∩ ),0,0,ja,音楽兼日常｜邦ロックと食べることが特に好こ,'🐭:👑🐃 よくツイ消しする。 ヲタク脳、雑食。 芈と書いてみーと読む（らしい） 無言フォロー失礼致す！,105,False,298,968,2020-04-19 12:34:14
paypay_v,2020-06-04 18:57:26,'かえにゃんの何？ みそ汁？ww #おうちでSKE48,0,0,ja,,',303,False,437,23039,2014-10-15 12:27:06
bczi_1127,2020-06-04 18:57:08,'ノートをPayPayで買ってくれる方が、  いるのでくろねことジジから、  少しばかりですが毎回赤十字へ  寄付させて頂くようになりました🤝✨  これも皆さんのお陰です🙇🏽‍♂️✨ https://t.co/OTdEGukkUl,34,8,ja,宮城 仙台市,"'どうも,くろねこです😸皆で競馬を楽しみたいです😼無料LINEｸﾞﾙｰﾌﾟの運営始めさせていただきました✨ 有料,無料,共にnoteにも買い目載せております🤝✨ noteはPayPayも対応しておりますのでDM下さい🙇🏽‍♂️皆で仲良く競馬が出来る人ﾌｫﾛｰお願い致します💓",1174,False,60,3688,2019-06-10 08:44:33
cosmepresscafe,2020-06-04 18:57:06,'秋葉原店は現金、PayPay払いのみ可能です！  よろしくお願いいたします🙇‍♂️💦 https://t.co/pXaNWIyHal,5,1,ja,千代田区外神田3-7-8 iNTASビル 4階右手,"'アイドルを運営cosmepressがプロデュースする本格アイドルカフェ☕️営業時間：平日16時〜23時半 土日祝13時〜23時半(23時last order)：チャージ1h600yen,1D600yen~✨ キャスト・オフ会利用依頼募集！ info@cosme-press.com",761,False,44,422,2019-02-12 02:15:23
terry5607,2020-06-04 18:57:03,'https://t.co/lT7r43TMi1 あ。 うちは、今のところ指定されてません。,2,0,ja,静岡県 浜松市 中区,'「海に潜ってみんながハッピーになるダイビングインストラクター」 静岡県浜松市中区のダイビング屋さんのオーナー。 ダイビングインストラクターは2019年で34年目になりました！海遊びが大好きなおっさん。 自分も楽しいけど周りのみんなも楽しく。とにかく楽しい！が一番です！,6568,False,6264,94298,2008-12-26 08:43:06
takasui52,2020-06-04 18:56:54,'みんなからの匿名質問を募集中！  こんな質問に答えてるよ ● paypayドームって名前なく… ● ま… ● いじめた人が悪いの？ いじめら… ● 滋賀県の県庁所在地を米原  群… #質問箱 #匿名質問募集中  https://t.co/r48uz2nnLZ,0,0,ja,国境なき猫もふ団 団員,'元エッセンシャルワーカー/猫/スポーツ/写真/映画/演劇/文化芸術サポーター/ 永夏子さん/縄田かのんさん/中神円さん/睡蓮みどりさん/ファン歴まだまだ浅いですが応援しています。フォローご自由に。リムるならフォローしないで。⊂⌒っ´・ω・)っ休まない愚痴らない考えない、いつも感謝。  SAY NO TO  RACISM,725,False,2429,237251,2010-01-31 15:46:06
shunsstory,2020-06-04 18:56:49,'クレジットカードとPayPayを利用することで現金を使う場面が本当に減ってきた,2,0,ja,カミコベ県カミコベ市,'関西の大学生。 STORY TELLER《参戦済み》 MFS MMA 2017 大阪 幕張メッセ 2018 ストテラ大阪 SSS 大阪 大阪 PassCode 神戸 2019 ストテラ大阪 PassCode 大阪 MY FIRST STORY 大阪 京都 神戸(ワールド記念ホール),1169,False,826,49528,2011-11-03 03:50:05
