アカウント,作成日,ツイート,良いね数,リツイート数,言語,場所,アカウントの説明,フォロワー数,認証の有無,フォローしている数,ツイート数,アカウント作成日
txn7_ribbon,2020-04-07 19:16:39,現金給付じゃなくてPayPay給付にすればハイパーインフレ回避できるんじゃね？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？おれてんさい！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,0,0,ja,,燥と躁って似てるわね！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！ 躁ぎすぎ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,122,False,176,17335,2018-09-27 14:49:49
shadowv_teeoo,2020-04-07 19:16:34,PayPayの還元率を上げる為に100円のコンビニコーヒー買ってから気付いたんだけど、これキャッシュレス決済の割引のせいでカウントされないよな…。0.5%の為に高いコーヒーに変えたら元も子もないしもう諦めよう https://t.co/HtW2UesN6p,0,0,ja,日本,声優やってます/シャドウバースはじめました/ストリートファイターも好きです/永遠の16歳 フォロバしますが基本的にDMは返しません！,78,False,78,215,2018-07-07 15:38:18
angle95104,2020-04-07 19:16:21,@woooozizi26 PayPay 😎笑,0,0,ja,0109 × 96615 × 95104,◤ 윤정한 ◢,38,False,52,1196,2019-04-22 10:58:08
buchi123456,2020-04-07 19:15:51,@hideworker んんん…やはり。チケット払い戻しとか舞台使用料もろもろ高額だろうに🙄💦なるほどPayPayもあったかZOOMなんてのもあるんだ知らなかった！へぇ〜頑張ってるなぁ〜すご😆✨せめて今は空気読んでくれ年金納付書💦,0,0,ja,,酒とホラー好き新潟産。死印(真下/長嶋 ) 、HTF、亜人 ⬇️以下リンク 匿名でのご意見・感想・質問にどうぞ,221,False,236,24037,2012-06-08 02:19:00
cityrabi719,2020-04-07 19:15:43,王将知らぬ間にPayPay入れたのね…,0,0,ja,？？？,流行りについて行けない奴←,201,False,175,16080,2016-10-07 13:41:21
KeisukeGoto_8,2020-04-07 19:15:20,ホークスが選手会の要望を受け入れ、4/9(木)から自主練習を認めてPayPayドームとタマスタ筑後の施設を開けることを発表しました❗️選手にとってはコンディションを整えることが仕事ですし、最大限の対策を取りつつ頑張ってほしいですね💪https://t.co/xmtnHBXYeu#sbhawks #福岡ソフトバンクホークス,326,33,ja,,"元FOXスポーツ中の人。
引き続きホークスを応援してます❗
個人のアカウントですが運用方法はしばらく変えずに行こうと思います😊
よろしくお願いします🙇‍♂️",4739,False,59,1568,2019-12-29 15:49:36
miyabi_mtc,2020-04-07 19:14:48,貯まったPayPay使って末っ子用のスターターセット買ってきまして。引っ越して初めて息子とのバトルが始まりまする。#息子はやっぱりリザードン https://t.co/LXwShgQWlq,30,0,ja,静岡県東部,【PCG】ポケモンカード好き。でも嫁はもっと好き。／ポケカイベントオーガナイザー1期生／マサラタウンカップ主催@masaratowncup／ジャッジ【音楽】アカペラ／クラシック／吹奏楽／ゲームサントラ【他】子育て奮闘／仮面ライダー,525,False,486,6078,2017-06-30 14:44:01
miccyn23k,2020-04-07 19:14:46,PayPay利用制限くらって半分しか支払いできなかった…,0,0,ja,ゆず島,ゆず島の代表 / ポケモントレーナー / 選ばれし子供 / 真実はいつも一つ☝️,149,False,421,117594,2010-11-01 06:32:46
katuratakechiyo,2020-04-07 19:14:35,@firework0912 いつでもお呼びください！PayPayでもらいます！,0,0,ja,,落語芸術協会。千葉県旭市観光大使。明治大学大学院古代日本文学修士。古代史落語家。温泉ソムリエ。旅行好き。第18回さがみはら若手落語家選手権優勝。芸協カデンツァ。公式サイトhttps://t.co/NVwN9eqhY2 著書:幻冬舎『落語DE古事記』,2054,False,846,7349,2015-09-22 04:31:21
sim_bndr,2020-04-07 19:14:15,SuicaとPayPayだけで生活できてる,0,0,ja,沼,ショバフェスとにじさんじに亡命中 ふたつ星のアンサンブル62位 現在禁酒中 今は雑多垢,274,False,288,9154,2017-07-31 09:59:34
TOSS_ura,2020-04-07 19:13:41,この状況下で、まだ飲食店キャンペーンやってるPayPayな、、、禿ほんとどっか行ってくんねーかな,0,0,ja,東京都,浦和レッズスタンド要員。奏、茄子担当,416,False,650,136872,2010-08-26 01:40:49
pucapu_ca,2020-04-07 19:12:03,【譲渡】刀剣乱舞 もちもちマスコット もちマス ミニ譲：★鶯丸 ●博多藤四郎求：定価+送料 ★は●を同数お迎え下さい3box予約済都合により名古屋手渡し可ゆうちょ、PayPay可検索からでもお気軽にどうぞ https://t.co/shZ6NYhbqC,0,8,ja,,本垢。社会人20↑。主に刀剣乱舞。最推し源氏、次点で長義などなど。グッズの募集ツイは時間が経っていても消すまで有効。振込はゆうちょダイレクト。paypay可。既読の意味でいいねを付けております。,266,False,364,723,2014-06-04 02:11:28
kabotya169,2020-04-07 19:11:50,すき家でPayPay使ったら200円近く返ってきた、やった。,0,0,ja,,納豆テロ/オリーブ降りる/ハガキ職人/マルモリダンス/リトルヤホス/色盲,1347,False,922,66736,2012-09-03 15:21:46
housimaru3,2020-04-07 19:10:49,心療内科電車帰りまたPayPayキター‼️一昨日古参PayPay2000円でピザ一昨日通報されたお花見オフ会、参加者ジモティーオジさん1人※クリ賞・ギフト受取不可！不要！PayPay #lv325199993 https://t.co/AmJckfyKDs https://t.co/EoGocga3y1,0,0,ja,三原出身🐙埼玉住み🏍東京出没♪私は余命三年と…,発達障害？#配信社 #ニコ生主 成功率0.03%這い上がれ自分‼️#本田直之 📖西野エンタメ研究所最近入会１ヶ月で脱退⚡︎スロットからラスベガスへ💸行きたい😚IBS&メンタルオフ会代表4年☘サイコ注意👁フォロー半分企業⁈3年以上の闘病全身癌年末母死亡wオトン3月末に死亡#心身症 #荒野行動 #パパ活 #妄想障害,1354,False,1738,30152,2010-08-23 02:38:39
7thtrigger_5150,2020-04-07 19:10:26,黒アウターしか無かったからPayPayモールで白アウター買ったが似合わなさ過ぎて笑う。,0,0,ja,next→,"奈良/crew/邦ロック/ ライブ友募集中🎵
 UVERworld.BAWDIES.HYDE.ORAL.MFS.KEYTALK.MWAM.TOTALFAT.CHEMISTRY.flumpool.vanillas.フォーリミが好き！気軽にフォローください♬",498,False,721,6072,2014-11-07 13:33:25
zooska,2020-04-07 19:10:19,@yodaka_rho paypayフリマはヤフオクと連携してるので結構出品多いと思う。いまんとこ買う方だけ。売るのは梱包とかめんどいので🤣,1,0,ja,16-BIT界隈,ミリシタおじさん(紬P/ラウンジFO(U)R所属)。SEGA好きの自称メガドライバー。ほぼゲームの話。スマホとかPS4とかレトロゲー。ミリシタ/シャニマス/コトダマンなど。いちお2女の父だよ,306,False,496,18194,2009-08-04 05:58:07
rukiruki_a,2020-04-07 19:09:47,"ちなみにハウスTシャツは、1週間前にPayPayモールでポチッとしたよ❤︎""皆が着てるの見て、買わなきゃという使命感が与えられた気がした()💘💘💘",0,0,ja,,"❤︎顔面国宝白岩瑠姫くん ❤︎弟ダンサー井汲大翔くん          ❤︎北陸96line❤︎        
 ❤︎ファンミ 2/20 参戦済❤︎",94,False,113,1214,2020-01-30 05:25:39
housimaru3,2020-04-07 19:09:36,【生放送】心療内科電車帰りまたPayPayキター‼️一昨日古参PayPay2000円でピザ一昨日通報されたお花見オフ会、参加者ジモティーオジさん1人※クリ賞・ギフト... を開始しました。 https://t.co/J7c1lNOZos #lv325199993,0,0,ja,三原出身🐙埼玉住み🏍東京出没♪私は余命三年と…,発達障害？#配信社 #ニコ生主 成功率0.03%這い上がれ自分‼️#本田直之 📖西野エンタメ研究所最近入会１ヶ月で脱退⚡︎スロットからラスベガスへ💸行きたい😚IBS&メンタルオフ会代表4年☘サイコ注意👁フォロー半分企業⁈3年以上の闘病全身癌年末母死亡wオトン3月末に死亡#心身症 #荒野行動 #パパ活 #妄想障害,1354,False,1738,30152,2010-08-23 02:38:39
amintan_0608,2020-04-07 19:09:35,心療内科電車帰りまたPayPayキター‼️一昨日古参PayPay2000円でピザ一昨日通報されたお花見オフ会、参加者ジモティーオジさん1人※クリ賞・ギフト受取不可！不要！PayPay / 番組開始しました！ https://t.co/pUjW4Y2Jga,0,0,ja,埼玉 川口市,三原で産まれる前からハードモード身体も、お腹も、弱くて病気な奇人、 それはアミンたん@housimaru3 ニコ生主配信者♪ 趣味はカラオケ☆スロット初心者 ＊オカンは去年年末に3年半の闘病で死亡。オトンは3月31日に死に、28歳の若さで両親を亡くしました。案外嫌な奴ほど居なくなるのは辛いもの、両親(良心)は大切に。,29,False,67,124,2020-03-19 05:13:59
otorasann,2020-04-07 19:08:47,＼獲得／PayPayボーナスライト 1円相当 - けんさくとえんじん 毎日くじ #ズバトク https://t.co/Dc6eQQSxqt,0,0,ja,Osaka.Japan,懸賞サイトハマり中です♪もう結構な期間やっていますが、そこそこ当たるのでやめられません。,1128,False,1712,219281,2010-08-25 10:51:08
yumican112,2020-04-07 19:08:25,ほぐし処　はなももの写真(すべて)/大府市柊山町｜エキテン https://t.co/VWxS0uD7xH #ほぐし処はなもも#手もみ#足つぼ#大府市#PayPay#お得#ペア#お待ちしております☆,1,0,ja,愛知県大府市柊山町8丁目340 ほぐし処はなもも ,こんにちは♪( ´▽｀) 愛知県大府市で「ほぐし処はなもも」で働いて おります☆  ご来店お待ちしておりますね♪ アメブロ インスタ  フェイスブックがあります ライン予約cop4144v 予約(070) 6411 1444  愛媛みきゃん  ヤバt   手ぬぐい 好き,47,False,40,2322,2015-01-23 11:36:11
otorasann,2020-04-07 19:08:17,＼獲得／3等：PayPayボーナスライト　1円相当 - 毎日ひける！　PayPayボーナスライトが当たるくじ #ズバトク https://t.co/1tRkXOYfd3,0,0,ja,Osaka.Japan,懸賞サイトハマり中です♪もう結構な期間やっていますが、そこそこ当たるのでやめられません。,1128,False,1712,219281,2010-08-25 10:51:08
pengin_,2020-04-07 19:08:16,paypayアカウント復活させようとしてもできなくて詰み気味だが...,0,0,ja,,₍₍(ง˘ω˘)ว⁾⁾,1229,False,1357,227236,2008-05-18 03:21:34
moba1_ekoda,2020-04-07 19:07:42,#auPAY #paypay#LINEPAYご利用いただけます各社還元実施中！https://t.co/eEY8WQ5VrThttps://t.co/ddnTxCkWqr営業時間11:00~20:00最終受付19:30モバワン #江古田 店℡0368734361 #練馬 #池袋 #新宿 #板橋 #中野 #要町 #桜台 #小竹向原 #新江古田 #千川 #東長崎,0,0,ja,東京都練馬区栄町3-8　山本ビル1階,本家のモバワン血統が流れる携帯電話専門店が8月29日オープン ■営業時間11:00〜20:00 ■受付時間11:00〜19:30 ■所在地:東京都練馬区栄町3-8 山本ビル1階■℡:0368734361■西武池袋線江古田駅南口から3分。SoftBankさんの隣です。発信アカウントのため個別回答は行っておりません。,2913,False,3336,4104,2014-08-15 14:47:13
zooska,2020-04-07 19:07:12,@yodaka_rho paypayフリマ(ソフトバンク系。paypay決済できるラクマ(楽天系。楽天ポイントで払えるをつかってみたよ。どっちも良いね。匿名配送ってやつのしか買ってない。相手に住所情報渡さない取引。,1,0,ja,16-BIT界隈,ミリシタおじさん(紬P/ラウンジFO(U)R所属)。SEGA好きの自称メガドライバー。ほぼゲームの話。スマホとかPS4とかレトロゲー。ミリシタ/シャニマス/コトダマンなど。いちお2女の父だよ,306,False,496,18194,2009-08-04 05:58:07
lwJiqGyzIujBOAW,2020-04-07 19:07:09,コロナで不況の今‼1日保証・トータル保証出します‼保証ご希望の方お気軽にDMください‼保証プラン通常プラン自由に選択できます‼＃愛知　＃岐阜　＃三重　＃デリヘル　＃高収入　＃コロナ　＃PayPay　＃金欠　＃風俗,0,0,ja,日本 三重,デリ紹介してます！稼ぎたい女性連絡待ってます🙇‍♂️,252,False,516,314,2019-07-15 11:14:20
TOSHIMITSU_xxx,2020-04-07 19:07:07,@ma__r611 当たった時めっちゃ笑ってしまったってばよ()交流戦も危うい状態だからPayPay遠い勢はしんどいってばよ😢,0,0,ja,語尾だってばよ生活中だあああああ,💖@TO_TOSHIMITSU が好きだら!!💖,45,False,50,380,2020-03-08 10:49:37
RITSU_FOOD,2020-04-07 19:06:58,"🐣🌷HappyEaster🌼🐰バスキンロビンスの""イースターカラフルデコ""のキャンペーン🍨姉と行ってきた👭わたしはウサちゃん🐰フレーバーは『ブリリアントスウィートルビー』🎀ちなみにマックィーンもイースター仕様🏎💫今ならPayPayで20％還元でお得👐 https://t.co/lwuVdLdRZW",24,3,ja,,外食は週に1~2回で！,491,False,114,3121,2015-12-07 11:52:24
hideworker,2020-04-07 19:06:49,@buchi123456 軒並み落語会が中止延期の嵐です。今はテレワーク、YouTube生配信、ZOOMといったアプリを使って落語会、そしてpaypayを使っての投げ銭システムを若手の人が中心に会やってますね。愚痴になりますが、年金納付書が来た時に「何もこんな時に！」って心情になりました,2,0,ja,関西,漫才・落語・山下達郎大好き人間！よろしくお願いします。,387,False,502,47599,2010-04-22 11:19:23
kenchan_kmyd,2020-04-07 19:06:31,ここ2日間｢PayPayで｣しか言ってない,1,0,ja,青森→蒲田,一ノ瀬みか（@MIKA_KMYD）と峰島こまき（@komaki_7land）,406,False,721,15761,2016-04-07 14:43:46
mii_ran_rin,2020-04-07 19:06:22,疲れてへろへろで帰宅でも市役所終わって一安心(  ◜௰◝  ）帰りに買い物に寄ったので写真のものを彼氏さんがPayPayで半分くらい払ってくれたけど金欠の民には半分も辛かった(  ◜௰◝  ）💸💸💸でもありがたい…🙏🙏✨今日はもう思考停止してあつ森して寝ます… https://t.co/pJf3qPvam1,4,0,ja,雨、時々晴れ,めんたる❁¨̮手帳✎ペット🐾 ﾒﾝﾀﾙ⇒双極Ⅱ型、BPD、解離性障害…手帳2級📚HSP気質 ✏#文好部 No.638 🌸#桃文 No.76 ⸜( ॑꒳ ॑ )⸝✎*。少しずつ生きやすく🍀 🍎どう森アカウント→【@mii_rin_ran】,54,False,39,184,2019-12-31 20:13:28
skyblue_1985jp,2020-04-07 19:06:09,@kwatts_631205 はい、PayPayも使わなくなってきましたww,1,0,ja,秋葉原,wena wrist公式アンバサダー 。 VoLTEやWiMAX２＋などを検証中。。 ツイートの内容は個人的見解であり所属する団体や組織などとの関連は一切ありません。現在お仕事は受けておりません。 https://t.co/OMXXgI7Vmb…,5812,False,43,42028,2012-03-28 04:13:03
yukkiynyan,2020-04-07 19:06:05,みんなからの匿名質問を募集中！こんな質問に答えてるよ● どんな人が嫌いですか？嫌いな…● PayPay使ってる？…● お兄ちゃんが欲しかった弟なん…● 自分が陰で悪口言われてたらどう…#質問箱 #匿名質問募集中https://t.co/61rASSpevf,0,0,ja,北海道釧路地方,田舎に住んでます。 猫が好きです。 ロックが好きです。 「チバ」に反応します。 ソフトクリームが食べたいです。,171,False,200,4547,2010-01-28 11:06:53
sumiiko235,2020-04-07 19:05:58,@Shukun_tenshi paypayって送金とかもできるんですね💦アンケートで希望聞くとかしゅーくん優しすぎですね😭💖,0,0,ja,,春から歯科衛生士🏥✨4月からは仕事終わりのみ出現します😊💕 主に懸賞していこうと思っているのでツイートうるさくしたらすみません😣💔ストレージ足りないのでiPadかアマギフ当ててスマホ買いかえたい😭 #すみっこの当選報告,117,False,424,1589,2020-03-09 16:22:04
cafebar_Meteora,2020-04-07 19:05:50,出勤キャストのログインツイートにオーダーとPayPayの決済番号をリプしてください。乾杯とシャンパンにはお礼の乾杯動画を歌リクには1曲全部とはいきませんがリクエスト動画をツイートさせて頂きます♪ https://t.co/uklLytr4nt,3,9,ja,大阪市中央区道頓堀2-4-5 新道頓堀ビル302,"大阪 ミナミ なんばにあるメイドカフェ&バーです。2020年4月1日グランドオープン
めておら@cafebar_Meteora mail:info@meteora-osaka.com",96,False,18,432,2019-02-06 16:33:54
suzu_hideki,2020-04-07 19:05:44,@CLUB_COCHLEA @daytrip_nagoya 送金したいですが、PayPay ID 教えてください。出先なので、支払いのスマホでQRコードスキャンできませんから。,1,0,ja,愛知 一宮市,ステージで踊る💃美しく煌めき、そして青春を捧げて儚く消えていくアイドル達を応援します！ ぎゃんぐらばー💝 KSDD #恋ぎゃん #ピーロコ #名古屋クリアーズ #おーえすゆー #究極人形 #dela #ReClash #君に胸キュン #アイドル教室 #キラフォレ #スタフィオ #手羽セン #神崎豊,229,False,403,4675,2018-10-30 12:09:22
7iSejog81gPouay,2020-04-07 19:05:08,あー、今日はタイムズに車停めたなぁ　1万円札しか財布にないやー　コンビニ行って崩そ🏃‍♂️あーー、特に買うものないなザバスドリンクでも買うかぁ　iPhoneスッ📱　　　PayPay♬♪ ぬーーーーん🤪　　なう。,11,0,ja,日本,雑多アカです🥳 音楽/official髭男dism.King gnu クリープハイプ vaundy brothers 🐨CLUBGNU 会員🐃 その他趣味多め🏕、🎬、🐠、🏊‍♂️、♨️,277,False,391,329,2020-01-11 21:24:38
cafebarLune,2020-04-07 19:04:33,出勤キャストのログインツイートにオーダーとPayPayの決済番号をリプしてください。乾杯とシャンパンにはお礼の乾杯動画を歌リクには1曲全部とはいきませんがリクエスト動画をツイートさせて頂きます♪ https://t.co/QOZlkuxbMZ,2,7,ja,大阪市中央区千日前1-6-7 日宝阪町ファイブ3F,2018/8/15オープン 大阪 ミナミ 日本橋 にあるメイドカフェ&バーです。るーん@cafebarLune  めておら@cafebar_Meteora いんすたhttps://t.co/gq7mtknuuI mail:info@lune-osaka.com,599,False,40,6863,2018-03-28 22:51:49
cafebarLune,2020-04-07 19:03:43,こういった情勢なので、来店せずにキャストにオーダーを入れることができるようになりました！支払いはPayPayのみとなりますが、乾杯・歌リク・シャンパンのオーダーを受付しております。,5,7,ja,大阪市中央区千日前1-6-7 日宝阪町ファイブ3F,2018/8/15オープン 大阪 ミナミ 日本橋 にあるメイドカフェ&バーです。るーん@cafebarLune  めておら@cafebar_Meteora いんすたhttps://t.co/gq7mtknuuI mail:info@lune-osaka.com,599,False,40,6863,2018-03-28 22:51:49
ORIHUSTAT1976,2020-04-07 19:03:37,@natsuko_pad ライブ見たかった〜。PayPay・LINE PAYの送金機能で、ライブ視聴からもドリンク貰える様にしましょ。PayPayだと送金宛先をQRコードやリンクで表示されてて、スマホからリンク開けば…そこがかりんLINE配信店のレジスター！,0,0,ja,ここから上,たっちゃん リュウちゃん Notノンケw No real My Life 私の人生は５%の飲酒の現実と９５%の妄想で出来てます。いろんな趣味で幅広く浅く、そして変人とか変態やら下品(ゲフィン)の類いです。 猫飼い出して人間と話してない今日この頃です。 結婚したいゲイの人　飯炊きババァ,177,False,502,16038,2010-07-17 01:01:44
kumaaa_,2020-04-07 19:03:34,PayPay他、まだ使ったことないんだけどレジで「あれ？QR読み込まない」とかモタモタやってる人とかたまに見かけると導入しなくてもいいかなって思ってしまう,1,0,ja,ちば,昔ポケモンとモンハンやってた 今はツムツム（Lv250くらい）とコトダマン（90段くらい）とポケモンGOとingress（レベル11くらい）,382,False,504,58446,2010-03-14 17:06:02
noinac_b,2020-04-07 19:03:19,みんなからの匿名質問を募集中！こんな質問に答えてるよ● 野球見始めた頃のホームラン王…● 日本の女アイドルは韓国の女性ア…● 高校野球どこ応援してますか？？…● paypayドームって名前なく…#質問箱 #匿名質問募集中https://t.co/64MWXzaxpQ,0,0,ja,,"通りすがりのベルサール秋葉原での遭遇がきっかけでモノノフに。
阪神とノフ選手中心の焼き豚。
まれに分かる人にしか分からないこともボソッと。
若い頃ちょっとだけ富山に住んでた。",255,False,318,12514,2013-01-14 08:02:52
hrt9092,2020-04-07 19:03:12,ほっともっとで店前の旗に宮川大輔がいたからpaypayでって言ってしまって使えなかった。しかもよく見たら宮川大輔じゃなくて昴生,1,0,ja,銭湯,虚無,349,False,504,18164,2013-07-30 11:33:37
fuji_no_yu,2020-04-07 19:03:05,富士の湯ではPayPay使えません😆https://t.co/BWNuAP1Aly,1,1,ja,会津若松市駅前町２－１３,２００６年オープンの会津のお風呂屋です☆天然温泉にこだわり大人の方は450円でお入りいただけます。朝１０時開館で２３時最終受付２４時閉館。床屋・ボディケア・リンパケア・カラオケのほかに３Fにはレストランもございます。サウナは高温・ミストの２種、２０１２年には会津初となる高濃度炭酸泉も誕生！岩盤浴もありますよ～（＾０＾）,447,False,11,8812,2012-12-20 07:02:56
kzenkz1118,2020-04-07 19:02:17,微力すぎますけど222円寄付しましたPayPay寄付やりやすい,0,0,ja,お題箱→,心は児童の成人済み,265,False,173,30128,2017-07-01 23:54:34
stlay,2020-04-07 19:02:05,ロピアでPayPay使えなくなっちゃうんだ。手数料無料の期間終わっちゃうのね。,0,0,ja,,"Cymbalist
消化能力が人より劣るので足りない熱量をカプサイシンで補充。",198,False,353,14154,2007-05-10 07:20:00
6v6O1,2020-04-07 19:02:02,SEVENTEEN セブチ 個別握手会 個握 5/22  福岡 PayPayドーム【譲】1部  ジュン   ディノ【求】ミンギュ  ジョシュア（何部でも構いません）顔付き身分証明書交換できる方20代前半お心当たりのある方お気軽にDM又はリプお願い致します。,2,0,ja,,,2,False,1,14,2017-12-06 12:34:55
fraise_ange_93,2020-04-07 19:02:00,PayPayの仕組みわかる人教えて……,2,0,ja,性格悪いよ？だから何？,あーめんどくせ,23,False,47,284,2020-02-15 09:10:52
hiroki_horisaki,2020-04-07 19:01:54,そして、この企画はライブにも良く行く京都一乗寺Cafe Norwegianwoodの東京支店的な立ち位置で始めようと思います。お支払いはお気持ちをpaypayでお願いします！あなたの飲み代や僕にご馳走していただいたり…営業時間以外の【逆ツケ】もOK🙆‍♂️ https://t.co/oteLl6ffI8,0,1,ja,,drums&percussion RADIACTIVE/egoistic 4 leaves/ミールスなど サポートは最近だと佐藤タイジ、ドレスコーズ、堂珍嘉邦、上杉周大など 誰よりも笑顔で叩くよ,1281,False,463,24890,2010-04-23 16:43:24
zooska,2020-04-07 19:01:35,@yodaka_rho ああ、そうなるねwワイはpaypayだから、最近メルカリのPaypay版始めたんだけどお金の受け渡しも楽々ね。昔のヤフオクと比べたら進化したものよのぅ,1,0,ja,16-BIT界隈,ミリシタおじさん(紬P/ラウンジFO(U)R所属)。SEGA好きの自称メガドライバー。ほぼゲームの話。スマホとかPS4とかレトロゲー。ミリシタ/シャニマス/コトダマンなど。いちお2女の父だよ,306,False,496,18194,2009-08-04 05:58:07
sakusaku010616,2020-04-07 19:01:23,@PR210 paypayの方が少ないがな🤣🤣🤣🤣,1,0,ja,,サクラ39娘です🌸 ０歳乳児の娘👶育児中。育児、懸賞アカ！よろしくお願いします🥺 20代最後の女🙌当選したら、当選報告必ずします！旦那にスイッチとどうぶつの森当てたい😆夢はリスト全消し！#サクラ39の当選報告,937,False,1570,16449,2020-01-31 23:00:02
00ncyn,2020-04-07 19:01:20,全国の有名飲食チェーンが対象！春のグルメまつりキャンペーン - PayPay https://t.co/jbflzTw0WD なるほどね,0,0,ja,さばく,#ろぼさー 🤖 ねば社員 FF14(Tiamat),207,False,269,38449,2014-09-15 19:50:06
kagamiyamomoka,2020-04-07 19:01:16,「17 live」配信中家賃、とにかく家賃この配信は皆様の課金がPaypayを通して僕に少しばかり還元されるそうですご支援賜れたら幸いちなみに明らかな飲酒配信はBANの対象になるとか、、工夫次第でセーフだとかまあ呑むけど呑まずにやってられるかよhttps://t.co/dEarJV2hbR,12,0,ja,Prodigy Promotion,"▼「レヴュー」という風変わりな表現活動に魂を捧げ、世をさすらう風来の鬼の子▼Revue Performer▼Dancer▼Choreographer▼Stage Actress▼Model
▼十七種類の言語▼上智大学院修了▼酒、セブンスター、書物、喫茶、芸術鑑賞▼ご用命kagamiyamomoka@gmail.com",5807,False,4998,71298,2010-08-18 05:07:58
KYODAserval,2020-04-07 19:00:54,みんなからの匿名質問を募集中！こんな質問に答えてるよ● 好きな球団は？…● 二度と乗りたくないタクシーって…● 吉崎観音ってプロ野球選手で例え…● paypayドームって名前なく…#質問箱 #匿名質問募集中https://t.co/URZXkNMegW,0,0,ja,,特に書くことはありません,445,False,736,7637,2019-03-14 13:06:52
S4R1A,2020-04-07 19:00:36,#荒野行動アカウント買取 19#廃課金_金枠多数など高価買取 総実績700以上なので安心🗝️実績確認【https://t.co/y9BYJ023Lw】買取方法各種プリカ/銀行振り込み/Linepay/paypay#即日支払い💸#荒野行動#荒野行動垢買取#荒野行動買取https://t.co/uDdea1AzTe,0,0,ja,@doryaseria @ser1alcode,業者歴2年以上/本垢@doryaseria⠀⠀ ⠀ ⠀ ⠀⠀⠀⠀在庫一覧 #せりあ荒野在庫 ⠀ ⠀⠀ ⠀ ⠀⠀⠀⠀ ⠀ ⠀⠀🌸実績多数🌸#総実績700以上⠀⠀⠀⠀⠀⠀⠀⠀⠀ 🔔実績→【https://t.co/qdbWiicZH2…】,2435,False,28,910,2019-04-03 07:06:35
susan_amt,2020-04-07 19:00:20,PayPayのメリットを教えて欲しい,2,0,ja,詳しくはついぷろみてね,age24/BKW会員/カラオケ中毒者/邦rock(ORAL/テナー/RAD/米津/ブルエン/KingGnu/夜ダン/フレデリック/SiM/エルレ/LiSAetc...)/ｱｲｺﾝ☞ @szp0v0tube/相方☞@Yuka_asgk/☺︎@Ryo_suke1005/相互希望/看護師4年目,6228,False,5964,30675,2013-07-04 13:12:34
nyuka_sokuho,2020-04-07 19:00:02,【4月7日19時現在】Amazon・楽天・PayPayモールの最新在庫状況をお知らせします。https://t.co/bFyPy7mY8B#マスク #マスク在庫 #マスク入荷情報 #マスク情報 #除菌 #除菌シート #アルコール消毒液 #在庫あり,0,0,ja,,Amazon・楽天・LOHACO・アイリスオーヤマなど有名ECサイトのマスク・消毒液入荷速報をお届けしています。どこよりも早く、適正価格の商品を通知できるよう日々システム改善を行っています。WEBでは30分ごとの最新の在庫状況も確認できるので、是非ご活用ください！,2651,False,1,3011,2020-01-07 06:16:30
BlWqBih3BngmB5E,2020-04-07 19:00:01,たぬきの店を勝手にキャッシュレス5％還元対象店舗にしてやった次はPayPay対応店舗にして10％戻ってくるようにしてやるたぬき還元寄越せ https://t.co/VCssgWmfvM,0,0,ja,,ログイン出来なくなったので作り直しました。燕市在住の女,5,False,13,319,2019-06-05 13:26:10
PR210,2020-04-07 18:59:06,@sakusaku010616 あ。PayPayなら！ https://t.co/IkSMl8HL4I,1,0,ja,イゼルローン要塞 ,👼２児👼の父。鬼嫁居ます。おっさん 貧乏サラリーマン。副業NG 出会いも求めてません 懸賞垢らしい。小遣い月1万 楽しいが好き。皆様からのお気持ちで生活出来ています。アイコンえりか🎀さん。ヘッダーはもち画伯作成 お気に入り→チーリン😳 @chieelyn12,1689,False,3463,44499,2012-03-17 13:44:33
nekki5149,2020-04-07 18:59:03,#自転車通勤 塩分補給に減塩ラーメン、糖分補給はバニラアイス( ﾟ∀ﾟ)人(ﾟ∀ﾟ ) #paypay 20%還元 https://t.co/sCmm7niZfK,3,0,ja,湘南,技術士（経営工学）/「超時空自転車通勤」というブログの運営者です。自転車通勤とポタリングで健康、節約、環境改善の全てを手に入れましょう。ＮＨＫ「めざせ！会社の星」自転車通勤特集に出演（2010年９月５日放映）資格:PMP/VEL/第一種衛生管理者/第一種教員免状(数学)/二級知的財産管理技能士/QC 検定準1級など,2955,False,3031,116627,2009-08-09 03:28:39
PwAn_TeI,2020-04-07 18:58:46,すだれハゲがPayPayになってる温水洋一,1,0,ja,,酒 煙草 女 ギャンブル とうちゅうじょ,1281,False,522,16118,2017-08-14 16:37:38
neko_kaji,2020-04-07 18:58:26,【入金方法】❶ネコカジ・Liiink店頭にて直接❷PayPayにて送金※送金後・PayPayアカウント名・pppokerアカウント名・入金額をネコカジ宛にDM🌟PayPayから送金は・画像読み取りor・リンクから(android限定)or・送る→ID検索【freepoker】https://t.co/fyIwRNxdku… https://t.co/w9UcoTpsca,0,3,ja,新宿区歌舞伎町1-22-9 Jゴールドビル6階,♢♡猫メイドたちのポーカー初心者専門店♡♢,2848,False,2745,15226,2015-11-25 01:54:29
